name,ra,dec,pm_ra,pm_dec,parallax,spect_type,lii,bii,_class,dist
HIP 100046,304.45911574,54.32234272,38.56,50.95,18.42,F5,89.48221335,10.33038494,STAR F5,54.2888165038002
HIP 100047,304.4683397,-17.28505738,-29.63,-312.87,28.72,,26.24380321,-26.64345026,UNIDENTIFIED,34.8189415041783
HIP 100048,304.47350606,59.79261504,2.96,24.68,-1.63,M2-M7E(S),94.21136914,13.24554401,STAR M2,-613.496932515337
HIP 100049,304.46985479,53.50455336,-0.88,-50.99,7.19,F8,88.78750312,9.88198751,STAR F8,139.082058414465
HIP 10005,32.21096151,30.76721937,5.41,-34.38,3.61,G0,141.97368453,-29.22636945,STAR G0,277.008310249307
HIP 100050,304.47586289,5.58639433,8.68,29.51,9.47,F0,48.27213428,-16.37467548,STAR F0,105.596620908131
HIP 100051,304.47706976,34.09034726,4.15,-3.92,3.74,M...,72.57773734,-0.91431314,STAR M0,267.379679144385
HIP 100052,304.47903104,54.03163415,5.82,28.75,2.54,M0,89.24022146,10.1632311,STAR M0,393.700787401575
HIP 100053,304.48018092,-22.6016534,-32.17,-59.27,2.45,G5,20.64431075,-28.55388362,STAR G5,408.163265306122
HIP 100054,304.48614707,-8.06605336,-1.75,-23.31,4.64,K0,35.51450424,-22.8766014,STAR K0,215.51724137931
HIP 100055,304.48741152,56.21633126,52.05,2.25,9.84,G0,91.11560914,11.33726546,STAR G0,101.626016260163
HIP 100056,304.48864858,16.00934144,-6.03,-14.85,1.67,K5,57.42138104,-10.92753253,STAR K5,598.802395209581
HIP 100057,304.4957967,-52.74047168,3.69,31.63,6.46,G0V,345.78754184,-34.16578008,STAR G0V,154.798761609907
HIP 100058,304.49962657,33.19140984,4.38,-1.71,2.26,B9,71.84425237,-1.43457332,STAR B9,442.477876106195
HIP 100059,304.50136214,64.10173993,12.63,10.33,3.49,G5,98.01788802,15.47552939,STAR G5,286.532951289398
HIP 10006,32.22060204,39.34868077,-8.21,2.11,4.75,A2,138.88274467,-21.11231919,STAR A2,210.526315789474
HIP 100060,304.50243575,-18.26391063,7.6,-9.21,6.11,A2V,25.24017199,-27.04006455,STAR A2V,163.66612111293
HIP 100061,304.50415219,-0.10761146,7.84,-10.56,0.34,M0,43.08869893,-19.21581844,STAR M0,2941.17647058823
HIP 100062,304.50573017,-21.80990013,35.39,-24.74,9.55,G8III,21.50044544,-28.30769187,STAR G8III,104.712041884817
HIP 100063,304.51309933,-68.48949982,-71.81,12.15,14.27,F6/F7V,326.90787611,-33.00006272,STAR F6V,70.0770847932726
HIP 100064,304.5134103,-12.54485877,61.78,2.85,30.01,G6/G8III,31.09678614,-24.80973995,STAR G6III,33.3222259246918
HIP 100065,304.5136842,-10.59744743,24.54,-17.44,2.77,K0,33.03943725,-23.99560165,STAR K0,361.01083032491
HIP 100066,304.52018203,27.50545817,-7.33,-10.11,5.29,F0,67.13630725,-4.633563,STAR F0,189.035916824197
HIP 100067,304.52409568,-21.99833022,22.4,-23.6,7.07,F5V,21.30582325,-28.38805544,STAR F5V,141.442715700141
HIP 100068,304.52827096,-24.26881689,13.15,-18.79,0.85,K5,18.86313482,-29.14334856,STAR K5,1176.47058823529
HIP 100069,304.52912505,40.73209817,-2.51,-6.53,2.1,O9V,78.09863673,2.78066887,STAR O9V,476.190476190476
HIP 10007,32.22504315,-17.84796913,83.63,37.12,10.61,G1V,189.51364871,-69.88112837,STAR G1V,94.2507068803016
HIP 100070,304.53037912,-55.22766267,15.59,3.87,7.21,F5V,342.78105153,-34.19360892,STAR F5V,138.69625520111
HIP 100071,304.53984496,-28.36764554,14.93,-1.87,4.4,K,14.36616093,-30.39480034,STAR K0,227.272727272727
HIP 100072,304.5417575,-4.72861347,-26.44,-21.7,27.3,F8,38.76000133,-21.42511115,STAR F8,36.6300366300366
HIP 100073,304.54403365,70.78662106,-17.68,-54.91,10.66,A5,104.0848018,18.80606422,STAR A5,93.8086303939962
HIP 100074,304.54398242,-48.83015835,-25.85,-16.98,6.24,K2III,350.50786252,-34.03674836,STAR K2III,160.25641025641
HIP 100075,304.54408078,-41.50383602,51.85,-26.11,2.68,F5V,359.26197915,-33.26038634,STAR F5V,373.134328358209
HIP 100076,304.54637248,49.04332189,-2.99,-7.15,0.58,B8,85.03770153,7.39931913,STAR B8,1724.13793103448
HIP 100077,304.55415717,40.12184607,-2.96,-13.02,3.47,A0,77.60360213,2.4225946,STAR A0,288.184438040346
HIP 100078,304.55516596,-67.40601524,1.76,-9.93,0.89,K1III,328.181657,-33.18825005,STAR K1III,1123.59550561798
HIP 100079,304.55596505,29.20437036,-8.14,-85.01,28.04,M0,68.56652848,-3.71018208,STAR M0,35.6633380884451
HIP 10008,32.2261921,-35.79219032,33.84,17.76,5.6,F5V,245.46290995,-71.39491036,STAR F5V,178.571428571429
HIP 100080,304.55761917,24.50143203,-0.57,-6.11,0.41,F6Iab,64.64759099,-6.33315785,STAR F6I,2439.0243902439
HIP 100081,304.55794299,58.80923379,1.54,0.46,2.29,A0,93.37819365,12.68905871,STAR A0,436.681222707424
HIP 100082,304.55844812,-6.31231067,17.22,8.42,2.04,A5,37.24905046,-22.1600301,STAR A5,490.196078431373
HIP 100083,304.55984735,25.50960082,-25.87,-29.34,6.6,K2III,65.4917796,-5.77486869,STAR K2III,151.515151515152
HIP 100084,304.56001827,18.32819041,16.07,4.9,3.93,Am...,59.44066404,-9.72942994,STAR A0,254.452926208651
HIP 100085,304.56521824,39.88494382,-1.41,-6.8,3.07,B3,77.41213299,2.2826095,STAR B3,325.732899022801
HIP 100086,304.57054167,25.65422222,,,,A1V,65.61796456,-5.70244666,STAR A1V,#DIV/0!
HIP 100087,304.57094601,51.86697564,4.14,-1.52,1.07,G5,87.42960456,8.93813215,STAR G5,934.579439252336
HIP 100088,304.57106382,25.64824351,2.42,4.22,2.97,B1.5V,65.61323488,-5.70616387,STAR B1V,336.700336700337
HIP 100089,304.57499382,-54.16210643,-1.1,-6.74,-1.18,K5/M0III,344.06933306,-34.22575943,STAR K5III,-847.457627118644
HIP 10009,32.22974599,7.28451427,22.25,-11.68,1.06,K0,154.30506266,-50.80651615,STAR K0,943.396226415094
HIP 100090,304.58053035,-51.086783,-2.18,-26.03,6.17,B9Vp...,347.78725608,-34.17303146,STAR B9V,162.074554294976
HIP 100091,304.58098995,-63.16064038,37.47,-31.54,5.76,A4IV,333.22667802,-33.7503691,STAR A4IV,173.611111111111
HIP 100092,304.58242543,3.68073238,82.31,-39.67,3.89,K0,46.60621861,-17.4245232,STAR K0,257.06940874036
HIP 100093,304.58928492,25.61836335,5.46,-0.59,1.84,A0,65.59746767,-5.73643865,STAR A0,543.478260869565
HIP 100094,304.58950383,9.64980953,25.82,-2.7,2.04,K2,51.94776601,-14.38323966,STAR K2,490.196078431373
HIP 100095,304.60099261,32.11050444,11.26,-28.67,6.01,Am,70.99746792,-2.11228373,STAR A0,166.389351081531
HIP 100096,304.60117452,-40.90559695,6.55,-22.78,2.71,K2III,359.97678512,-33.21261192,STAR K2III,369.0036900369
HIP 100097,304.6031586,55.3971705,-7.58,-31.19,11.21,A2Vs,90.44781684,10.84147383,STAR A2V,89.2060660124889
HIP 100098,304.60511049,30.36744859,4.18,11.36,4.39,A0,69.5555068,-3.09378471,STAR A0,227.790432801822
HIP 100099,304.61001401,30.82125926,-2.27,-4.92,1.15,B9Ib-II,69.93402578,-2.84264783,STAR B9II,869.565217391304
HIP 1001,3.12892949,-32.32082372,-11.77,20.36,4.61,F3V,359.01257975,-80.08891398,STAR F3V,216.919739696312
HIP 10010,32.23039092,-16.00960946,7.75,17.72,12.16,F2V,185.14092314,-68.87602409,STAR F2V,82.2368421052632
HIP 100100,304.61134099,-38.93048178,17.79,-25.61,0.31,K2,2.30264575,-32.8948189,STAR K2,3225.8064516129
HIP 100101,304.61158708,64.86796514,4.55,-7.14,4.05,K5,98.72650773,15.82732891,STAR K5,246.913580246914
