name,ra,dec,pm_ra,pm_dec,parallax,spect_type,lii,bii,dist
HIP 84541,259.24613271,62.57785364, -157.72,  118.06,  19.13,K0,92.0601486,34.67564015,52.2739153162572
HIP 43696,133.49789617,62.58389254, -110.44,  -45.47,  11.68,G0,153.04643305,37.85093221,85.6164383561644
HIP 105199,319.64408982,62.58545529,  149.91,   48.27,  66.84,A7IV-V,100.99862529,9.17211046,14.9611011370437
HIP 2717,8.64778821,62.59047684,   87.06,    0.91,  16.11,F7V,120.99443892,-0.21787922,62.0732464307883
HIP 117617,357.8079142,62.59285182,   69.67,  -93.64,  13.03,F8,116.06622998,0.52639151,76.7459708365311
HIP 77277,236.66647764,62.59969448,   40.00,  -56.54,  12.00,A2IV,96.42309947,44.45988704,83.3333333333333
HIP 87815,269.08402821,62.60982311,  -52.16,  100.42,  12.02,K0,91.81722913,30.15622157,83.1946755407654
HIP 73659,225.8581065,62.64704601,  -51.95, -117.39,  20.82,K0,100.78351588,48.41388389,48.030739673391
HIP 24348,78.38038055,62.69112962,  -37.36,    0.83,  12.16,A7Vn,148.37931463,13.648968,82.2368421052632
HIP 56710,174.40587683,62.7130126,  -90.37,   26.12,  14.23,F2,136.69045289,52.39868538,70.2740688685875
HIP 5186,16.59452876,62.76146736,  102.38,  -32.21,  14.39,A5Vn,124.6404781,-0.0607081,69.4927032661571
HIP 18525,59.41564519,62.77741244,  -44.20,   47.77,  10.28,F2,142.4909405,7.21086634,97.2762645914397
HIP 62402,191.82885595,62.78113875,   20.02,    6.54,  15.85,A9V,123.74052324,54.34063959,63.0914826498423
HIP 109005,331.25199883,62.78552941,   14.19,   58.43,  10.25,K4III,105.15934383,5.8071003,97.5609756097561
HIP 38463,118.18678466,62.78912951,  109.31,   39.58,  10.26,K2,153.84849423,30.87008825,97.4658869395712
HIP 48714,149.03774424,62.78988049, -304.56, -583.14,  95.40,M2,149.21589386,44.35781965,10.482180293501
HIP 87211,267.26649708,62.79866572,  -71.42,   66.75,  19.34,F2,92.02687582,30.99152663,51.7063081695967
HIP 65336,200.86485586,62.80115054, -197.93,  129.99,  12.39,G0,116.72379553,53.93943583,80.7102502017756
HIP 37934,116.61442348,62.83067078,  -36.98,  -61.01,  12.32,F0p SrEu,153.79100894,30.15213103,81.1688311688312
HIP 104913,318.77329667,62.84048194,  123.01,  260.87,  14.51,G5,100.90841735,9.63738931,68.9179875947622
HIP 81016,248.17466562,62.85482321,  -44.86,   33.69,  10.97,Am,93.81473084,39.555734,91.1577028258888
HIP 77122,236.2169049,62.85999056, -255.74,  128.23,  11.53,G5,96.88418519,44.50418816,86.7302688638335
HIP 84183,258.1356641,62.87422062,   15.91,   48.03,  24.01,F0IV,92.50492163,35.13794361,41.649312786339
HIP 2716,8.64040952,62.90339141,  -26.30,  -59.37,  19.32,F5,121.01153806,0.09458608,51.75983436853
HIP 66309,203.84812475,62.90802274, -364.42,   39.61,  22.98,K2,114.54042912,53.49825718,43.5161009573542
HIP 49829,152.59285988,62.91604264,  -35.53, -171.53,  12.04,K0,147.83156254,45.65733446,83.0564784053156
HIP 4740,15.22256298,62.9237755,  194.08,   44.22,  12.07,,124.00729415,0.07176492,82.8500414250207
HIP 70474,216.22398521,62.93635272,   23.21,  -27.09,  11.41,F8,106.24923283,51.0575154,87.6424189307625
HIP 40380,123.66548543,62.93650798,  -27.62,  -29.96,  12.72,G0,153.54277523,33.35920002,78.6163522012579
HIP 36834,113.61695099,62.94175585, -496.04, -104.92,  87.01,M0,153.59221688,28.7925927,11.4929318469141
HIP 98245,299.47420003,62.96370523,  125.25,  135.19,  17.34,G,95.8538206,16.88663304,57.6701268742791
HIP 112876,342.87271732,62.97230158,   12.93,  -49.46,  12.10,G5,109.78344353,3.20401909,82.6446280991736
HIP 64076,196.97254845,62.98310697,  -36.62,   11.70,  20.75,G0,119.75102937,54.04341609,48.1927710843374
HIP 101093,307.39511383,62.99413722,   45.00,  -13.31,  24.04,A7III,97.75920148,13.79483039,41.5973377703827
